programCode,AcademicYear,UserUID,examID,CourseCode,CourseName,Semester,CourseOutcomeID,CourseOutcome,Threshold,Target,scoreAwarded,TotalPoints,DifficultyLevel,TaxonomyID,percentage,attainment,Exam_type,Mapping
CSE,2018-2019,1,2c9fadbd7885b0a9017887e58dc63e92,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1acf7004062,Debugging and verification using a simulator and on the real microcontroller,45,60,2.84,4,1,2,0.71,1,3,"3,3,3,3,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e58dc63e92,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad2814407f,"Investigate measures for debugging using logical analyser, and software instrumentation.  Estimation of time to achieve accurate delays using Systick and other timers.",45,60,2.84,4,1,2,0.71,1,3,"3,3,3,2,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e58dc63e92,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad56b64083,Develop problem solving skill to solve real world problems using Finite State Machine,45,60,2.84,4,1,2,0.71,1,3,"3,3,3,3,3,2,2,2,1,3,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e58dc63e92,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad8c104099,"Designing a circuit and construction on a solderless breadboard, interfacing the input and output in it with the Microcontroller.",45,60,2.84,4,1,2,0.71,1,3,"3,3,3,3,3,2,2,2,1,1,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e58dc63e92,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1adf7d640b4,"The implementation of an I/O driver using synchronization, Multi-threaded programming using interrupts.",45,60,2.84,4,1,2,0.71,1,3,"3,3,3,3,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e58dc63e92,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ae468d40c2,Integrate the concepts learn to solve real world problems in designing and implementing a project based on environment or sustainability theme.,45,60,2.84,4,1,2,0.71,1,3,"3,3,3,3,3,2,2,3,3,3,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e5eba33fae,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ac5a2a4000,Understanding of Embedded Systems using modular design and abstraction,45,60,5.1,10,1,2,0.51,1,4,"3,2,1,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e5eba33fae,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ac8e8d400c,Learn how to read a data sheet and compute the value of registers. Understand the strategic use of memory and other I/O modules in TM4C123 microcontroller.,45,60,0.5,10,1,2,0.05,0,4,"3,1,1,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e5eba33fae,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1acc34b404f,Analyse how to access Microcontroller ports using Embedded C program,45,60,8.4,10,1,2,0.84,1,4,"2,3,3,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e5eba33fae,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1acf7004062,Debugging and verification using a simulator and on the real microcontroller,45,60,2.9,10,1,2,0.29,0,4,"3,3,3,3,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e5eba33fae,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad2814407f,"Investigate measures for debugging using logical analyser, and software instrumentation.  Estimation of time to achieve accurate delays using Systick and other timers.",45,60,6,10,1,2,0.6,1,4,"3,3,3,2,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e5eba33fae,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad56b64083,Develop problem solving skill to solve real world problems using Finite State Machine,45,60,7,10,1,2,0.7,1,4,"3,3,3,3,3,2,2,2,1,3,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e5eba33fae,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad8c104099,"Designing a circuit and construction on a solderless breadboard, interfacing the input and output in it with the Microcontroller.",45,60,1.9,10,1,2,0.19,0,4,"3,3,3,3,3,2,2,2,1,1,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e5eba33fae,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1adf7d640b4,"The implementation of an I/O driver using synchronization, Multi-threaded programming using interrupts.",45,60,1,10,1,2,0.1,0,4,"3,3,3,3,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e5eba33fae,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ae468d40c2,Integrate the concepts learn to solve real world problems in designing and implementing a project based on environment or sustainability theme.,45,60,7.9,10,1,2,0.79,1,4,"3,3,3,3,3,2,2,3,3,3,0,0,0,0"
CSE,2018-2019,1,8a838345673ec61901674f18b50813d8,15CSE340,Computer Vision,5,8a838345673ec61901673ece37410055,Learn to device keypoint detection strategies,45,60,6,6,2,1,1,1,3,"2,2,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345673ec61901674f18b50813d8,15CSE340,Computer Vision,5,8a838345673ec61901673ece37410055,Learn to device keypoint detection strategies,45,60,5,7,2,2,0.714285714,1,3,"2,2,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345673ec61901674f18b50813d8,15CSE340,Computer Vision,5,8a838345673ec61901673ecec7a4006b,Learn to device keypoint descriptors to favour Keypoint matching,45,60,6,6,1,4,1,1,3,"2,2,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345673ec61901674f18b50813d8,15CSE340,Computer Vision,5,8a838345673ec61901673ecec7a4006b,Learn to device keypoint descriptors to favour Keypoint matching,45,60,0,6,1,6,0,0,3,"2,2,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345673ec61901674f18b50813d8,15CSE340,Computer Vision,5,8a838345673ec61901673ecec7a4006b,Learn to device keypoint descriptors to favour Keypoint matching,45,60,16,20,2,3,0.8,1,3,"2,2,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345673ec61901674f18b50813d8,15CSE340,Computer Vision,5,8a838345673ec61901673ecf2740007e,"Learn to detect, identify & track objects",45,60,5,12,1,5,0.416666667,0,3,"3,3,3,2,2,3,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a83834567ad07970167bab96f9b3336,15CSE340,Computer Vision,5,8a838345673ec61901673ecd4877002d,Understand Image & Image Formation Model,45,60,6,8,1,6,0.75,1,3,"2,0,0,0,0,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a83834567ad07970167bab96f9b3336,15CSE340,Computer Vision,5,8a838345673ec61901673ecd4877002d,Understand Image & Image Formation Model,45,60,0,4,2,2,0,0,3,"2,0,0,0,0,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a83834567ad07970167bab96f9b3336,15CSE340,Computer Vision,5,8a838345673ec61901673ecddb630041,Learn to apply image enhancement techniques judiciously,45,60,10,14,1,4,0.714285714,1,3,"3,3,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a83834567ad07970167bab96f9b3336,15CSE340,Computer Vision,5,8a838345673ec61901673ecddb630041,Learn to apply image enhancement techniques judiciously,45,60,8,14,2,5,0.571428571,1,3,"3,3,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a83834567ad07970167bab96f9b3336,15CSE340,Computer Vision,5,8a838345673ec61901673ecddb630041,Learn to apply image enhancement techniques judiciously,45,60,8,10,3,1,0.8,1,3,"3,3,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345683c675d016873ea61821f10,15CSE340,Computer Vision,5,8a838345673ec61901673ecddb630041,Learn to apply image enhancement techniques judiciously,45,60,3,12,1,2,0.25,0,3,"3,3,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345683c675d016873ea61821f10,15CSE340,Computer Vision,5,8a838345673ec61901673ecddb630041,Learn to apply image enhancement techniques judiciously,45,60,13.5,32,2,4,0.421875,0,3,"3,3,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345683c675d016873ea61821f10,15CSE340,Computer Vision,5,8a838345673ec61901673ecddb630041,Learn to apply image enhancement techniques judiciously,45,60,4.5,6,3,6,0.75,1,3,"3,3,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345683c675d016873ea61821f10,15CSE340,Computer Vision,5,8a838345673ec61901673ece37410055,Learn to device keypoint detection strategies,45,60,0,8,2,6,0,0,3,"2,2,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345683c675d016873ea61821f10,15CSE340,Computer Vision,5,8a838345673ec61901673ece37410055,Learn to device keypoint detection strategies,45,60,0.5,3,3,2,0.166666667,0,3,"2,2,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345683c675d016873ea61821f10,15CSE340,Computer Vision,5,8a838345673ec61901673ecec7a4006b,Learn to device keypoint descriptors to favour Keypoint matching,45,60,6,8,2,6,0.75,1,3,"2,2,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345683c675d016873ea61821f10,15CSE340,Computer Vision,5,8a838345673ec61901673ecec7a4006b,Learn to device keypoint descriptors to favour Keypoint matching,45,60,0.5,3,3,2,0.166666667,0,3,"2,2,3,1,2,2,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345683c675d016873ea61821f10,15CSE340,Computer Vision,5,8a838345673ec61901673ecf2740007e,"Learn to detect, identify & track objects",45,60,8,14,1,4,0.571428571,1,3,"3,3,3,2,2,3,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345683c675d016873ea61821f10,15CSE340,Computer Vision,5,8a838345673ec61901673ecf2740007e,"Learn to detect, identify & track objects",45,60,1,8,2,2,0.125,0,3,"3,3,3,2,2,3,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345683c675d016873ea61821f10,15CSE340,Computer Vision,5,8a838345673ec61901673ecf738f008e,Learn to get depth perception from images,45,60,1.5,6,3,1,0.25,0,3,"3,3,1,1,1,3,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345689da61e0168ac93fb155b57,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ac5a2a4000,Understanding of Embedded Systems using modular design and abstraction,45,60,9,22.5,1,1,0.4,0,3,"3,2,1,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345689da61e0168ac93fb155b57,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ac8e8d400c,Learn how to read a data sheet and compute the value of registers. Understand the strategic use of memory and other I/O modules in TM4C123 microcontroller.,45,60,9.5,25,1,1,0.38,0,3,"3,1,1,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345689da61e0168ac93fb155b57,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1acc34b404f,Analyse how to access Microcontroller ports using Embedded C program,45,60,3.75,8.75,1,4,0.428571429,0,3,"2,3,3,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345689da61e0168ac93fb155b57,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1acf7004062,Debugging and verification using a simulator and on the real microcontroller,45,60,3.5,7.5,1,4,0.466666667,1,3,"3,3,3,3,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a838345689da61e0168aca222f95be1,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad8c104099,"Designing a circuit and construction on a solderless breadboard, interfacing the input and output in it with the Microcontroller.",45,60,45,50,2,5,0.9,1,2,"3,3,3,3,3,2,2,2,1,1,0,0,0,0"
CSE,2018-2019,1,8a83834568ae10080168b82dab377823,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ac5a2a4000,Understanding of Embedded Systems using modular design and abstraction,45,60,0.5,0.75,2,4,0.666666667,1,4,"3,2,1,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a83834568ae10080168b82dab377823,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ac8e8d400c,Learn how to read a data sheet and compute the value of registers. Understand the strategic use of memory and other I/O modules in TM4C123 microcontroller.,45,60,0.5,0.75,2,4,0.666666667,1,4,"3,1,1,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a83834568ae10080168b82dab377823,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1acc34b404f,Analyse how to access Microcontroller ports using Embedded C program,45,60,0.5,0.75,2,4,0.666666667,1,4,"2,3,3,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a83834568ae10080168b82dab377823,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1acf7004062,Debugging and verification using a simulator and on the real microcontroller,45,60,0.5,0.75,2,4,0.666666667,1,4,"3,3,3,3,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a83834568ae10080168b82dab377823,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad2814407f,"Investigate measures for debugging using logical analyser, and software instrumentation.  Estimation of time to achieve accurate delays using Systick and other timers.",45,60,0,2,2,1,0,0,4,"3,3,3,2,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a83834568ae10080168b82dab377823,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad2814407f,"Investigate measures for debugging using logical analyser, and software instrumentation.  Estimation of time to achieve accurate delays using Systick and other timers.",45,60,8,20,3,2,0.4,0,4,"3,3,3,2,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a83834568ae10080168b82dab377823,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad56b64083,Develop problem solving skill to solve real world problems using Finite State Machine,45,60,5,30,1,5,0.166666667,0,4,"3,3,3,3,3,2,2,2,1,3,0,0,0,0"
CSE,2018-2019,1,8a83834568ae10080168b82dab377823,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad8c104099,"Designing a circuit and construction on a solderless breadboard, interfacing the input and output in it with the Microcontroller.",45,60,5,5,2,1,1,1,4,"3,3,3,3,3,2,2,2,1,1,0,0,0,0"
CSE,2018-2019,1,8a83834568ae10080168b82dab377823,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad8c104099,"Designing a circuit and construction on a solderless breadboard, interfacing the input and output in it with the Microcontroller.",45,60,17.5,30,3,2,0.583333333,1,4,"3,3,3,3,3,2,2,2,1,1,0,0,0,0"
CSE,2018-2019,1,8a83834568ae10080168b82dab377823,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1adf7d640b4,"The implementation of an I/O driver using synchronization, Multi-threaded programming using interrupts.",45,60,4,5,1,5,0.8,1,4,"3,3,3,3,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,8a83834568ae10080168b82dab377823,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1adf7d640b4,"The implementation of an I/O driver using synchronization, Multi-threaded programming using interrupts.",45,60,3,5,2,1,0.6,1,4,"3,3,3,3,3,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d050178030316544ced,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d05017802ff98824cc9,"Define a vector space in terms of an arbitrary set with defined operations of vector addition and scalar multiplication that satisfy the vector space axioms. Introduce different examples of vector spaces including matrix spaces, function spaces under different definitions of vector addition and scalar multiplications",45,60,6.4,10,1,2,0.64,1,1,"3,2,1,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d050178030316544ced,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d05017803000a984ccd,Identify when a linear system is consistent and when it is inconsistent and interpret the solution geometrically. Dealing with the basis and dimension of the solution space and also with rank and nullity of the matrix,45,60,6.4,10,1,2,0.64,1,1,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d050178030316544ced,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d050178030068b04cd1,Construct an orthonormal basis from a given basis and obtain a basis for the orthogonal complement,45,60,6.4,10,1,2,0.64,1,1,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d050178030316544ced,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d0501780300d7a74cd5,Distinguish between linear and nonlinear transformations. Define the matrix representation of a linear transformation from to Rn to Rn,45,60,6.4,10,1,2,0.64,1,1,"3,2,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d050178030316544ced,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d050178030132334cd9,"Solve linear systems represented as linear transforms and express linear transforms in other forms, such as matrix equations or as vector equations.",45,60,6.4,10,1,2,0.64,1,1,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d050178030319df4d11,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d05017802ff98824cc9,"Define a vector space in terms of an arbitrary set with defined operations of vector addition and scalar multiplication that satisfy the vector space axioms. Introduce different examples of vector spaces including matrix spaces, function spaces under different definitions of vector addition and scalar multiplications",45,60,8.2,10,1,2,0.82,1,2,"3,2,1,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d050178030319df4d11,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d05017803000a984ccd,Identify when a linear system is consistent and when it is inconsistent and interpret the solution geometrically. Dealing with the basis and dimension of the solution space and also with rank and nullity of the matrix,45,60,8.2,10,1,2,0.82,1,2,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d050178030319df4d11,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d050178030068b04cd1,Construct an orthonormal basis from a given basis and obtain a basis for the orthogonal complement,45,60,8.2,10,1,2,0.82,1,2,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d050178030319df4d11,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d0501780300d7a74cd5,Distinguish between linear and nonlinear transformations. Define the matrix representation of a linear transformation from to Rn to Rn,45,60,8.2,10,1,2,0.82,1,2,"3,2,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d050178030319df4d11,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d050178030132334cd9,"Solve linear systems represented as linear transforms and express linear transforms in other forms, such as matrix equations or as vector equations.",45,60,8.2,10,1,2,0.82,1,2,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d05017803031d3f4d28,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d05017802ff98824cc9,"Define a vector space in terms of an arbitrary set with defined operations of vector addition and scalar multiplication that satisfy the vector space axioms. Introduce different examples of vector spaces including matrix spaces, function spaces under different definitions of vector addition and scalar multiplications",45,60,3.2,4,1,2,0.8,1,3,"3,2,1,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d05017803031d3f4d28,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d05017803000a984ccd,Identify when a linear system is consistent and when it is inconsistent and interpret the solution geometrically. Dealing with the basis and dimension of the solution space and also with rank and nullity of the matrix,45,60,3.2,4,1,2,0.8,1,3,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d05017803031d3f4d28,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d050178030068b04cd1,Construct an orthonormal basis from a given basis and obtain a basis for the orthogonal complement,45,60,3.2,4,1,2,0.8,1,3,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d05017803031d3f4d28,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d0501780300d7a74cd5,Distinguish between linear and nonlinear transformations. Define the matrix representation of a linear transformation from to Rn to Rn,45,60,3.2,4,1,2,0.8,1,3,"3,2,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d05017803031d3f4d28,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d050178030132334cd9,"Solve linear systems represented as linear transforms and express linear transforms in other forms, such as matrix equations or as vector equations.",45,60,3.2,4,1,2,0.8,1,3,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d0501780303218d4d53,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d05017802ff98824cc9,"Define a vector space in terms of an arbitrary set with defined operations of vector addition and scalar multiplication that satisfy the vector space axioms. Introduce different examples of vector spaces including matrix spaces, function spaces under different definitions of vector addition and scalar multiplications",45,60,20,20,1,2,1,1,4,"3,2,1,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d0501780303218d4d53,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d05017803000a984ccd,Identify when a linear system is consistent and when it is inconsistent and interpret the solution geometrically. Dealing with the basis and dimension of the solution space and also with rank and nullity of the matrix,45,60,6,20,1,2,0.3,0,4,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d0501780303218d4d53,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d050178030068b04cd1,Construct an orthonormal basis from a given basis and obtain a basis for the orthogonal complement,45,60,18.8,20,1,2,0.94,1,4,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d0501780303218d4d53,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d0501780300d7a74cd5,Distinguish between linear and nonlinear transformations. Define the matrix representation of a linear transformation from to Rn to Rn,45,60,7.2,20,1,2,0.36,0,4,"3,2,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd77ff5d0501780303218d4d53,15MAT207,Linear Algebra and Its Applications,1,2c9fadbd77ff5d050178030132334cd9,"Solve linear systems represented as linear transforms and express linear transforms in other forms, such as matrix equations or as vector equations.",45,60,13,20,1,2,0.65,1,4,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd7804835e017807d14454004a,15MAT201,Discrete Mathematics,2,8a838345683c675d016875389dfc21fb,Understand how to write an argument using logical notation and determine if the argument is        or is not valid.,45,60,8,10,1,2,0.8,1,1,"3,2,1,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd7804835e017807d14454004a,15MAT201,Discrete Mathematics,2,8a838345695bde660169b8afcc104723,Understand the basic principles of sets and operations in sets.,45,60,8,10,1,2,0.8,1,1,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd7804835e017807d14454004a,15MAT201,Discrete Mathematics,2,8a838345695bde660169b8bffafa54f4,Ability to demonstrate an understanding of relations and functions and be able to determine  their properties,45,60,8,10,1,2,0.8,1,1,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd7804835e017807d14454004a,15MAT201,Discrete Mathematics,2,8a838345695bde660169be9415b069e7,Ability to  demonstrate different traversal methods for trees and graphs,45,60,8,10,1,2,0.8,1,1,"3,2,1,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd7804835e017807d14454004a,15MAT201,Discrete Mathematics,2,8a838345695bde660169be94a2006a25,Ability to Model problems in Computer Science using graphs and tree.,45,60,8,10,1,2,0.8,1,1,"2,3,2,0,0,0,0,0,0,0,0,0,0,0"
CSE,2017-2018,2,2c9fadbd7804835e017807d14815006e,15MAT201,Discrete Mathematics,2,8a838345683c675d016875389dfc21fb,Understand how to write an argument using logical notation and determine if the argument is        or is not valid.,45,60,9.1,10,1,2,0.91,1,2,"3,2,1,0,0,0,0,0,0,0,0,0,0,0"
