train:fold,0,epoch,0, userid: AM.EN.H4CSE15001, user: 1/960, exams, 62 (108.54 seqs/min), total loss, 0.569125,curr loss, 0.569125, mae, 0.617066, total acc, 0.387097, curr acc, 0.387097, total auc, 0.589744, curr auc, 0.589744, summary, 24/24, 0/38, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14129, user: 15/960, exams, 15 (930.65 seqs/min), total loss, 0.448386,curr loss, 0.227561, mae, 0.585336, total acc, 0.364562, curr acc, 0.666667, total auc, 0.669692, curr auc, 0.736111, summary, 7/8, 3/7, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14140, user: 16/960, exams, 15 (1013.41 seqs/min), total loss, 0.435371,curr loss, 0.240141, mae, 0.577588, total acc, 0.383444, curr acc, 0.666667, total auc, 0.668556, curr auc, 0.651515, summary, 9/10, 1/5, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14146, user: 17/960, exams, 15 (913.09 seqs/min), total loss, 0.425926,curr loss, 0.274797, mae, 0.572746, total acc, 0.392261, curr acc, 0.533333, total auc, 0.663543, curr auc, 0.583333, summary, 5/8, 3/7, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14162, user: 18/960, exams, 15 (1841.73 seqs/min), total loss, 0.415368,curr loss, 0.235895, mae, 0.566029, total acc, 0.392691, curr acc, 0.400000, total auc, 0.662875, curr auc, 0.651515, summary, 6/10, 0/5, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14503, user: 19/960, exams, 15 (512.98 seqs/min), total loss, 0.403822,curr loss, 0.195991, mae, 0.557723, total acc, 0.403602, curr acc, 0.600000, total auc, 0.670384, curr auc, 0.805556, summary, 4/8, 5/7, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15001, user: 20/960, exams, 214 (103.49 seqs/min), total loss, 0.397466,curr loss, 0.276693, mae, 0.553996, total acc, 0.411693, curr acc, 0.565421, total auc, 0.663480, curr auc, 0.532302, summary, 28/92, 93/122, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15002, user: 21/960, exams, 187 (64.23 seqs/min), total loss, 0.392032,curr loss, 0.283361, mae, 0.550801, total acc, 0.417044, curr acc, 0.524064, total auc, 0.657984, curr auc, 0.548051, summary, 18/92, 80/95, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15004, user: 22/960, exams, 220 (119.45 seqs/min), total loss, 0.389878,curr loss, 0.344646, mae, 0.549880, total acc, 0.418748, curr acc, 0.454545, total auc, 0.650525, curr auc, 0.493882, summary, 32/125, 68/95, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15005, user: 23/960, exams, 223 (49.75 seqs/min), total loss, 0.385749,curr loss, 0.294906, mae, 0.547545, total acc, 0.424718, curr acc, 0.556054, total auc, 0.642948, curr auc, 0.476260, summary, 19/95, 105/128, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15006, user: 24/960, exams, 242 (94.06 seqs/min), total loss, 0.383185,curr loss, 0.324209, mae, 0.545563, total acc, 0.429060, curr acc, 0.528926, total auc, 0.637645, curr auc, 0.515682, summary, 25/100, 103/142, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15007, user: 25/960, exams, 212 (43.79 seqs/min), total loss, 0.381958,curr loss, 0.352513, mae, 0.545904, total acc, 0.427936, curr acc, 0.400943, total auc, 0.632105, curr auc, 0.499151, summary, 37/151, 48/61, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15008, user: 26/960, exams, 313 (75.00 seqs/min), total loss, 0.380613,curr loss, 0.346979, mae, 0.545730, total acc, 0.427328, curr acc, 0.412141, total auc, 0.628552, curr auc, 0.539708, summary, 65/228, 64/85, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15009, user: 27/960, exams, 227 (53.72 seqs/min), total loss, 0.377484,curr loss, 0.296133, mae, 0.544497, total acc, 0.427817, curr acc, 0.440529, total auc, 0.623932, curr auc, 0.503822, summary, 42/137, 58/90, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15010, user: 28/960, exams, 248 (84.63 seqs/min), total loss, 0.373473,curr loss, 0.265179, mae, 0.542632, total acc, 0.431115, curr acc, 0.520161, total auc, 0.620657, curr auc, 0.532244, summary, 56/129, 74/119, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15015, user: 29/960, exams, 149 (87.80 seqs/min), total loss, 0.369824,curr loss, 0.267655, mae, 0.540467, total acc, 0.434300, curr acc, 0.523490, total auc, 0.618178, curr auc, 0.548760, summary, 64/120, 14/29, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15016, user: 30/960, exams, 200 (115.67 seqs/min), total loss, 0.367295,curr loss, 0.293966, mae, 0.539519, total acc, 0.436157, curr acc, 0.490000, total auc, 0.616015, curr auc, 0.553273, summary, 25/37, 73/163, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15017, user: 31/960, exams, 217 (54.50 seqs/min), total loss, 0.364450,curr loss, 0.279079, mae, 0.538440, total acc, 0.437102, curr acc, 0.465438, total auc, 0.610012, curr auc, 0.429946, summary, 82/138, 19/79, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15018, user: 32/960, exams, 209 (109.68 seqs/min), total loss, 0.362530,curr loss, 0.303025, mae, 0.537909, total acc, 0.437946, curr acc, 0.464115, total auc, 0.606475, curr auc, 0.496800, summary, 56/82, 41/127, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15023, user: 33/960, exams, 155 (74.47 seqs/min), total loss, 0.360482,curr loss, 0.294952, mae, 0.537137, total acc, 0.438164, curr acc, 0.445161, total auc, 0.602166, curr auc, 0.464297, summary, 48/78, 21/77, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15024, user: 34/960, exams, 185 (128.54 seqs/min), total loss, 0.359639,curr loss, 0.331808, mae, 0.537404, total acc, 0.436247, curr acc, 0.372973, total auc, 0.599653, curr auc, 0.516734, summary, 20/31, 49/154, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15027, user: 35/960, exams, 190 (65.78 seqs/min), total loss, 0.358384,curr loss, 0.315698, mae, 0.537176, total acc, 0.435963, curr acc, 0.426316, total auc, 0.599696, curr auc, 0.601151, summary, 30/39, 51/151, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15028, user: 36/960, exams, 173 (138.27 seqs/min), total loss, 0.356606,curr loss, 0.294393, mae, 0.536374, total acc, 0.436538, curr acc, 0.456647, total auc, 0.597645, curr auc, 0.525838, summary, 44/67, 35/106, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15030, user: 37/960, exams, 426 (28.25 seqs/min), total loss, 0.353644,curr loss, 0.247023, mae, 0.534106, total acc, 0.442313, curr acc, 0.650235, total auc, 0.595738, curr auc, 0.527090, summary, 257/377, 20/49, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15031, user: 38/960, exams, 219 (114.57 seqs/min), total loss, 0.351428,curr loss, 0.269429, mae, 0.533082, total acc, 0.444612, curr acc, 0.529680, total auc, 0.593882, curr auc, 0.525238, summary, 85/112, 31/107, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15032, user: 39/960, exams, 186 (69.56 seqs/min), total loss, 0.350297,curr loss, 0.307300, mae, 0.532871, total acc, 0.445068, curr acc, 0.462366, total auc, 0.592285, curr auc, 0.531599, summary, 46/58, 40/128, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15034, user: 40/960, exams, 216 (96.22 seqs/min), total loss, 0.347923,curr loss, 0.255333, mae, 0.531479, total acc, 0.447135, curr acc, 0.527778, total auc, 0.590926, curr auc, 0.537910, summary, 87/121, 27/95, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15035, user: 41/960, exams, 295 (43.47 seqs/min), total loss, 0.345572,curr loss, 0.251566, mae, 0.529986, total acc, 0.450947, curr acc, 0.603390, total auc, 0.588350, curr auc, 0.485307, summary, 161/239, 17/56, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15037, user: 42/960, exams, 157 (149.47 seqs/min), total loss, 0.344657,curr loss, 0.307121, mae, 0.529743, total acc, 0.450067, curr acc, 0.414013, total auc, 0.585135, curr auc, 0.453308, summary, 44/77, 21/80, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15038, user: 43/960, exams, 138 (78.28 seqs/min), total loss, 0.343737,curr loss, 0.305123, mae, 0.529725, total acc, 0.450891, curr acc, 0.485507, total auc, 0.583028, curr auc, 0.494545, summary, 41/54, 26/84, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15039, user: 44/960, exams, 109 (189.12 seqs/min), total loss, 0.343617,curr loss, 0.338434, mae, 0.530060, total acc, 0.450235, curr acc, 0.422018, total auc, 0.580609, curr auc, 0.476613, summary, 17/30, 29/79, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15040, user: 45/960, exams, 149 (77.20 seqs/min), total loss, 0.343110,curr loss, 0.320807, mae, 0.530328, total acc, 0.449178, curr acc, 0.402685, total auc, 0.579762, curr auc, 0.542462, summary, 17/25, 43/124, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15044, user: 46/960, exams, 156 (153.18 seqs/min), total loss, 0.341872,curr loss, 0.286139, mae, 0.529858, total acc, 0.449865, curr acc, 0.480769, total auc, 0.579623, curr auc, 0.573376, summary, 18/28, 57/128, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15045, user: 47/960, exams, 206 (56.63 seqs/min), total loss, 0.340354,curr loss, 0.270534, mae, 0.529109, total acc, 0.451552, curr acc, 0.529126, total auc, 0.578465, curr auc, 0.525225, summary, 77/135, 32/71, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15047, user: 48/960, exams, 206 (119.45 seqs/min), total loss, 0.339235,curr loss, 0.286680, mae, 0.528756, total acc, 0.452561, curr acc, 0.500000, total auc, 0.576366, curr auc, 0.477694, summary, 43/74, 60/132, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15048, user: 49/960, exams, 198 (60.64 seqs/min), total loss, 0.337524,curr loss, 0.255355, mae, 0.527846, total acc, 0.454044, curr acc, 0.525253, total auc, 0.575891, curr auc, 0.553074, summary, 80/146, 24/52, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15049, user: 50/960, exams, 180 (142.44 seqs/min), total loss, 0.336158,curr loss, 0.269233, mae, 0.527149, total acc, 0.455630, curr acc, 0.533333, total auc, 0.575072, curr auc, 0.534958, summary, 29/63, 67/117, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15050, user: 51/960, exams, 148 (86.71 seqs/min), total loss, 0.334138,curr loss, 0.233138, mae, 0.525748, total acc, 0.459150, curr acc, 0.635135, total auc, 0.576410, curr auc, 0.643327, summary, 20/37, 74/111, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15052, user: 52/960, exams, 189 (124.04 seqs/min), total loss, 0.332557,curr loss, 0.251924, mae, 0.524811, total acc, 0.461207, curr acc, 0.566138, total auc, 0.575809, curr auc, 0.545153, summary, 23/63, 84/126, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15054, user: 53/960, exams, 193 (62.48 seqs/min), total loss, 0.331096,curr loss, 0.255117, mae, 0.523943, total acc, 0.463064, curr acc, 0.559585, total auc, 0.573746, curr auc, 0.466477, summary, 10/37, 98/156, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15057, user: 54/960, exams, 133 (192.30 seqs/min), total loss, 0.329205,curr loss, 0.228991, mae, 0.522640, total acc, 0.465767, curr acc, 0.609023, total auc, 0.571540, curr auc, 0.454580, summary, 3/23, 78/110, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15058, user: 55/960, exams, 242 (46.22 seqs/min), total loss, 0.329739,curr loss, 0.358590, mae, 0.523533, total acc, 0.462933, curr acc, 0.309917, total auc, 0.571351, curr auc, 0.561152, summary, 43/203, 32/39, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15059, user: 56/960, exams, 252 (98.25 seqs/min), total loss, 0.329882,curr loss, 0.337767, mae, 0.524046, total acc, 0.460760, curr acc, 0.341270, total auc, 0.571254, curr auc, 0.565945, summary, 38/196, 48/56, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15063, user: 57/960, exams, 189 (66.61 seqs/min), total loss, 0.329148,curr loss, 0.288001, mae, 0.523683, total acc, 0.461681, curr acc, 0.513228, total auc, 0.569466, curr auc, 0.469307, summary, 16/89, 81/100, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15065, user: 58/960, exams, 212 (104.63 seqs/min), total loss, 0.329187,curr loss, 0.331422, mae, 0.524019, total acc, 0.459820, curr acc, 0.353774, total auc, 0.568439, curr auc, 0.509930, summary, 23/147, 52/65, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15067, user: 59/960, exams, 312 (39.52 seqs/min), total loss, 0.329287,curr loss, 0.335097, mae, 0.524523, total acc, 0.458002, curr acc, 0.352564, total auc, 0.566663, curr auc, 0.463670, summary, 41/221, 69/91, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15068, user: 60/960, exams, 140 (178.64 seqs/min), total loss, 0.328363,curr loss, 0.273869, mae, 0.523810, total acc, 0.458941, curr acc, 0.514286, total auc, 0.566555, curr auc, 0.560163, summary, 15/59, 57/81, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15101, user: 61/960, exams, 133 (91.57 seqs/min), total loss, 0.327399,curr loss, 0.269554, mae, 0.523260, total acc, 0.459922, curr acc, 0.518797, total auc, 0.566216, curr auc, 0.545874, summary, 17/66, 52/67, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15103, user: 62/960, exams, 205 (124.47 seqs/min), total loss, 0.326923,curr loss, 0.297855, mae, 0.523026, total acc, 0.460608, curr acc, 0.502439, total auc, 0.566345, curr auc, 0.574194, summary, 62/144, 42/61, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15104, user: 63/960, exams, 119 (99.95 seqs/min), total loss, 0.325633,curr loss, 0.245632, mae, 0.522298, total acc, 0.462500, curr acc, 0.579832, total auc, 0.565962, curr auc, 0.542262, summary, 6/15, 63/104, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15107, user: 64/960, exams, 97 (235.63 seqs/min), total loss, 0.324572,curr loss, 0.257777, mae, 0.521733, total acc, 0.463489, curr acc, 0.525773, total auc, 0.566168, curr auc, 0.579103, summary, 11/21, 40/76, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15109, user: 65/960, exams, 178 (60.67 seqs/min), total loss, 0.323521,curr loss, 0.256225, mae, 0.521239, total acc, 0.464655, curr acc, 0.539326, total auc, 0.566038, curr auc, 0.557740, summary, 18/36, 78/142, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15110, user: 66/960, exams, 189 (137.11 seqs/min), total loss, 0.323271,curr loss, 0.307012, mae, 0.521061, total acc, 0.465471, curr acc, 0.518519, total auc, 0.565312, curr auc, 0.518134, summary, 36/73, 62/116, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15111, user: 67/960, exams, 149 (72.91 seqs/min), total loss, 0.322146,curr loss, 0.247945, mae, 0.520500, total acc, 0.466838, curr acc, 0.557047, total auc, 0.565817, curr auc, 0.599120, summary, 39/79, 44/70, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15113, user: 68/960, exams, 175 (145.77 seqs/min), total loss, 0.321277,curr loss, 0.263029, mae, 0.520135, total acc, 0.467536, curr acc, 0.514286, total auc, 0.564866, curr auc, 0.501136, summary, 14/37, 76/138, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15115, user: 69/960, exams, 165 (75.30 seqs/min), total loss, 0.320164,curr loss, 0.244478, mae, 0.519527, total acc, 0.469017, curr acc, 0.569697, total auc, 0.565318, curr auc, 0.596087, summary, 32/74, 62/91, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15116, user: 70/960, exams, 152 (154.70 seqs/min), total loss, 0.319625,curr loss, 0.282456, mae, 0.519405, total acc, 0.468895, curr acc, 0.460526, total auc, 0.565414, curr auc, 0.571995, summary, 52/125, 18/27, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15117, user: 71/960, exams, 107 (120.15 seqs/min), total loss, 0.318822,curr loss, 0.262569, mae, 0.519037, total acc, 0.469136, curr acc, 0.485981, total auc, 0.564172, curr auc, 0.477255, summary, 12/33, 40/74, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15118, user: 72/960, exams, 139 (165.17 seqs/min), total loss, 0.318026,curr loss, 0.261563, mae, 0.518715, total acc, 0.469615, curr acc, 0.503597, total auc, 0.564041, curr auc, 0.554720, summary, 34/83, 36/56, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15120, user: 73/960, exams, 88 (137.03 seqs/min), total loss, 0.317222,curr loss, 0.259269, mae, 0.518296, total acc, 0.471120, curr acc, 0.579545, total auc, 0.564324, curr auc, 0.584691, summary, 24/44, 27/44, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15124, user: 74/960, exams, 78 (315.34 seqs/min), total loss, 0.316366,curr loss, 0.253944, mae, 0.517829, total acc, 0.472204, curr acc, 0.551282, total auc, 0.563776, curr auc, 0.523810, summary, 5/13, 38/65, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15125, user: 75/960, exams, 153 (73.32 seqs/min), total loss, 0.315824,curr loss, 0.275669, mae, 0.517689, total acc, 0.472008, curr acc, 0.457516, total auc, 0.563031, curr auc, 0.507880, summary, 44/107, 26/46, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15127, user: 76/960, exams, 304 (71.19 seqs/min), total loss, 0.315436,curr loss, 0.286371, mae, 0.517754, total acc, 0.471208, curr acc, 0.411184, total auc, 0.562337, curr auc, 0.510323, summary, 98/261, 27/43, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15129, user: 77/960, exams, 157 (76.23 seqs/min), total loss, 0.314861,curr loss, 0.271118, mae, 0.517611, total acc, 0.471375, curr acc, 0.484076, total auc, 0.561962, curr auc, 0.533435, summary, 48/111, 28/46, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15130, user: 78/960, exams, 154 (172.90 seqs/min), total loss, 0.314048,curr loss, 0.251436, mae, 0.517175, total acc, 0.472075, curr acc, 0.525974, total auc, 0.562066, curr auc, 0.570068, summary, 24/52, 57/102, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15132, user: 79/960, exams, 105 (107.15 seqs/min), total loss, 0.313374,curr loss, 0.260844, mae, 0.516888, total acc, 0.472850, curr acc, 0.533333, total auc, 0.562014, curr auc, 0.558009, summary, 17/29, 39/76, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15133, user: 80/960, exams, 147 (150.28 seqs/min), total loss, 0.312550,curr loss, 0.247478, mae, 0.516474, total acc, 0.473572, curr acc, 0.530612, total auc, 0.562264, curr auc, 0.581958, summary, 50/95, 28/52, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15134, user: 81/960, exams, 173 (66.47 seqs/min), total loss, 0.311936,curr loss, 0.262772, mae, 0.516313, total acc, 0.473577, curr acc, 0.473988, total auc, 0.561638, curr auc, 0.511545, summary, 47/106, 35/67, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15136, user: 82/960, exams, 228 (110.27 seqs/min), total loss, 0.311080,curr loss, 0.241761, mae, 0.515867, total acc, 0.474434, curr acc, 0.543860, total auc, 0.562146, curr auc, 0.603346, summary, 64/128, 60/100, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE15137, user: 83/960, exams, 115 (94.73 seqs/min), total loss, 0.310530,curr loss, 0.265390, mae, 0.515721, total acc, 0.474481, curr acc, 0.478261, total auc, 0.561542, curr auc, 0.512023, summary, 25/54, 30/61, predicted scores: [] 
